Model Run,FPS,AVG_FPS,FPS,AVG_FPS
352,110.1,111.4,103.9,99.7
353,107.2,111.4,101.6,99.7
354,107.2,111.4,102.8,99.7
355,107.3,111.4,103.4,99.7
356,107.6,111.4,104.6,99.7
357,107.1,111.4,104.9,99.7
358,107.1,111.4,106,99.7
359,106.5,111.4,103.7,99.7
360,107,111.4,105,99.7
361,107.2,111.4,106.4,99.7
362,106.8,111.4,107.6,99.7
363,106.9,111.4,108.8,99.7
364,107.1,111.4,107.7,99.7
365,104.6,111.4,105.6,99.7
366,105.1,111.4,107.2,99.7
367,105.3,111.4,107.9,99.7
368,105.6,111.4,109,99.7
369,105.4,111.4,109.7,99.7
370,105.8,111.4,109.9,99.7
371,105.6,111.4,107.6,99.7
372,106.1,111.4,107.9,99.7
373,105.6,111.4,108.9,99.7
374,105.3,111.4,110.3,99.7
375,105.6,111.4,110.2,99.7
376,106.3,111.4,108.4,99.7
377,103.8,111.4,105.4,99.7
378,104.2,111.4,105.1,99.7
379,104.3,111.4,106.5,99.7
380,104.8,111.4,107.7,99.7
381,104.6,111.4,108.7,99.7
382,105,111.4,109.5,99.7
383,105.1,111.4,106.8,99.7
384,105.6,111.4,108.2,99.7
385,105.4,111.4,105.1,99.7
386,105.4,111.4,106.3,99.7
387,105.4,111.4,107.4,99.7
388,105.7,111.4,106.3,99.7
389,103.3,111.4,104.5,99.7
390,104,111.4,106,99.7
391,104.3,111.4,106.8,99.7
392,105.1,111.4,107.7,99.7
393,105.7,111.4,108.6,99.7
394,106.3,111.4,108.5,99.7
395,106.3,111.4,106.9,99.7
396,106.8,111.4,108.5,99.7
397,107,111.4,108.6,99.7
398,106.5,111.4,110,99.7
399,107.1,111.4,110,99.7
400,107.7,111.4,108.7,99.7
401,105.4,111.4,106.2,99.7
402,105.6,111.4,107.6,99.7
403,106,111.4,108.5,99.7
404,106.3,111.4,109.6,99.7
405,105.7,111.4,109.8,99.7
406,105.9,111.4,109.9,99.7
407,105.9,111.4,107.3,99.7
408,106.3,111.4,108,99.7
409,106.7,111.4,108.9,99.7
410,106.2,111.4,109.8,99.7
411,106.7,111.4,110.7,99.7
412,106.7,111.4,108.5,99.7
413,104.3,111.4,105.9,99.7
414,104.9,111.4,105.9,99.7
415,105.2,111.4,106.5,99.7
416,105.8,111.4,107.4,99.7
417,106.3,111.4,107.9,99.7
